Dia de Data Escala de Tempo 1 CE Simp 4;Data Escala de Tempo 1 CE Simp 4;Período Exibido CE Simp 4;Subsistema;Selecione Tipo de CE Simp 4
1 de julho de 2019;01/07/2019 00:00:00;Dia;*;62131,71249998
2 de julho de 2019;02/07/2019 00:00:00;Dia;*;63604,70483332
3 de julho de 2019;03/07/2019 00:00:00;Dia;*;64236,41499998
4 de julho de 2019;04/07/2019 00:00:00;Dia;*;64056,02941665
5 de julho de 2019;05/07/2019 00:00:00;Dia;*;63674,11741666
6 de julho de 2019;06/07/2019 00:00:00;Dia;*;56596,97066665
7 de julho de 2019;07/07/2019 00:00:00;Dia;*;49620,90591102
8 de julho de 2019;08/07/2019 00:00:00;Dia;*;57377,22591665
9 de julho de 2019;09/07/2019 00:00:00;Dia;*;58194,90741666
10 de julho de 2019;10/07/2019 00:00:00;Dia;*;60134,78629165
11 de julho de 2019;11/07/2019 00:00:00;Dia;*;60528,30233332
12 de julho de 2019;12/07/2019 00:00:00;Dia;*;60644,32808332
13 de julho de 2019;13/07/2019 00:00:00;Dia;*;55720,32899998
14 de julho de 2019;14/07/2019 00:00:00;Dia;*;50921,50874998
15 de julho de 2019;15/07/2019 00:00:00;Dia;*;60524,23733332
16 de julho de 2019;16/07/2019 00:00:00;Dia;*;61823,53183332
17 de julho de 2019;17/07/2019 00:00:00;Dia;*;61384,20345832
18 de julho de 2019;18/07/2019 00:00:00;Dia;*;61137,25574999
19 de julho de 2019;19/07/2019 00:00:00;Dia;*;61096,87341666
20 de julho de 2019;20/07/2019 00:00:00;Dia;*;55483,98695831
21 de julho de 2019;21/07/2019 00:00:00;Dia;*;50147,18924999
22 de julho de 2019;22/07/2019 00:00:00;Dia;*;59751,05999998
23 de julho de 2019;23/07/2019 00:00:00;Dia;*;61795,36612499
24 de julho de 2019;24/07/2019 00:00:00;Dia;*;62293,50758332
25 de julho de 2019;25/07/2019 00:00:00;Dia;*;62283,52995832
